date,signal,short_mavg,long_mavg,positions
2018-10-26 02:00:00,1.0,5611.425000000002,5594.330000000001,0.0
2018-10-27 02:00:00,1.0,5623.950000000003,5596.290000000001,0.0
2018-10-28 02:00:00,1.0,5624.625000000003,5601.250000000001,0.0
2018-10-29 01:00:00,0.0,5594.225000000003,5595.410000000001,-1.0
2018-10-30 01:00:00,0.0,5573.475000000002,5590.570000000001,0.0
2018-10-31 01:00:00,0.0,5561.550000000002,5591.09,0.0
2018-11-01 01:00:00,0.0,5543.000000000002,5587.5599999999995,0.0
2018-11-02 01:00:00,0.0,5560.325000000003,5587.09,0.0
2018-11-03 01:00:00,0.0,5565.925000000003,5579.820000000001,0.0
2018-11-04 01:00:00,0.0,5577.375000000003,5579.880000000001,0.0
2018-11-05 01:00:00,1.0,5588.375000000003,5578.340000000001,1.0
2018-11-06 01:00:00,1.0,5606.125000000002,5579.960000000001,0.0
2018-11-07 01:00:00,1.0,5639.500000000002,5585.770000000002,0.0
2018-11-08 01:00:00,1.0,5641.950000000002,5598.970000000002,0.0
2018-11-09 01:00:00,1.0,5639.1500000000015,5604.610000000002,0.0
2018-11-10 01:00:00,1.0,5627.625000000002,5606.390000000002,0.0
2018-11-11 01:00:00,0.0,5608.525000000002,5611.980000000002,-1.0
2018-11-12 01:00:00,0.0,5609.125000000002,5618.4900000000025,0.0
2018-11-13 01:00:00,0.0,5599.400000000002,5618.000000000002,0.0
2018-11-14 01:00:00,0.0,5445.625000000003,5553.690000000001,0.0
2018-11-15 01:00:00,0.0,5271.300000000003,5485.1500000000015,0.0
2018-11-16 01:00:00,0.0,5067.375000000003,5402.990000000002,0.0
2018-11-17 01:00:00,0.0,4884.600000000002,5316.040000000002,0.0
2018-11-18 01:00:00,0.0,4855.950000000002,5239.290000000002,0.0
2018-11-19 01:00:00,0.0,4640.000000000002,5085.490000000002,0.0
2018-11-20 01:00:00,0.0,4392.625000000002,4908.990000000002,0.0
2018-11-21 01:00:00,0.0,4184.375000000002,4746.380000000002,0.0
2018-11-22 01:00:00,0.0,3901.7250000000017,4556.330000000002,0.0
2018-11-23 01:00:00,0.0,3833.0250000000024,4378.940000000001,0.0
2018-11-24 01:00:00,0.0,3709.175000000003,4214.410000000002,0.0
2018-11-25 01:00:00,0.0,3582.0250000000033,4070.670000000002,0.0
2018-11-26 01:00:00,0.0,3471.600000000003,3918.020000000002,0.0
2018-11-27 01:00:00,0.0,3364.3750000000027,3770.8500000000013,0.0
2018-11-28 01:00:00,0.0,3461.000000000003,3656.4300000000017,0.0
2018-11-29 01:00:00,0.0,3523.925000000003,3624.2400000000016,0.0
2018-11-30 01:00:00,0.0,3579.350000000003,3592.7100000000014,0.0
2018-12-01 01:00:00,1.0,3658.700000000003,3560.580000000001,1.0
2018-12-02 01:00:00,1.0,3633.4750000000026,3549.130000000001,0.0
2018-12-03 01:00:00,1.0,3546.9250000000025,3509.8000000000006,0.0
2018-12-04 01:00:00,1.0,3529.9000000000024,3521.000000000001,0.0
2018-12-05 01:00:00,0.0,3428.350000000002,3499.1100000000015,-1.0
2018-12-06 01:00:00,0.0,3280.7000000000025,3472.7700000000013,0.0
2018-12-07 01:00:00,0.0,3179.4500000000025,3435.830000000001,0.0
2018-12-08 01:00:00,0.0,3064.8250000000025,3362.530000000001,0.0
2018-12-09 01:00:00,0.0,3025.0000000000027,3299.540000000001,0.0
2018-12-10 01:00:00,0.0,3018.900000000003,3248.590000000001,0.0
2018-12-11 01:00:00,0.0,3014.3250000000025,3178.080000000001,0.0
2018-12-12 01:00:00,0.0,3022.6750000000025,3118.2100000000014,0.0
2018-12-13 01:00:00,0.0,2967.0500000000025,3067.590000000001,0.0
2018-12-14 01:00:00,0.0,2922.6500000000024,3005.690000000001,0.0
2018-12-15 01:00:00,0.0,2888.2000000000025,2962.020000000001,0.0
2018-12-16 01:00:00,0.0,2840.3250000000025,2942.0600000000004,0.0
